url,true_category,predicted_category,correct,fetch_success,categorize_seconds
https://rlp.nabu.de/tiere-und-pflanzen/tieren-helfen/pflege-und-auffangstationen/index.html,LIST,LIST,True,True,189.471
https://www.vbu-ffm.de/pflegestationen.shtml,LIST,LIST,True,True,138.74
https://deutsche-wildtierrettung.de/wildtierauffangstationen/,LIST,LIST,True,True,75.798
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-dresden-chemnitz-leipzig-sachsen,LIST,LIST,True,True,123.567
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-berlin-brandenburg-mecklenburg-vorpommern,LIST,LIST,True,True,110.403
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-schleswig-holstein-bremen-hamburg,LIST,LIST,True,True,155.563
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-hannover-goettingen-niedersachsen,LIST,LIST,True,True,190.07
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-nrw-nordrhein-westfalen,LIST,LIST,True,True,124.077
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-rheinland-pfalz-saarland-nrw,LIST,LIST,True,True,169.44
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-hessen-rheinland-pfalz-saarland,LIST,LIST,True,True,195.199
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-baden-wuerttemberg-stuttgart-tuebingen,LIST,LIST,True,True,142.034
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-bayern-muenchen,LIST,LIST,True,True,131.212
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-bayern-franken-thueringen,LIST,LIST,True,True,136.568
https://www.wildtierhilfe-odenwald.de/,STATION,,,False,
http://www.eichhoernchen-schutz.de/,IRRELEVANT,STATION,False,True,89.115
http://eichhoernchen-notruf.com/,IRRELEVANT,STATION,False,True,94.977
https://www.xn--eichhrnchen-in-not-h3b.de/,IRRELEVANT,LIST,False,True,130.434
https://www.eichhörnchen-in-not.de/schleswig-holstein/wyk-f%C3%B6hr/,LIST,STATION,False,True,91.686
http://www.feldhasen.de/,IRRELEVANT,STATION,False,True,47.154
https://www.fledermausschutz.de/ansprechpartner/,IRRELEVANT,LIST,False,True,115.884
https://www.agf-bw.de/haeufige_fragen_hilfe/nottelefon_kontakte,LIST,STATION,False,True,49.664
http://www.fuchs-hilfe.de/index.htm,IRRELEVANT,LIST,False,True,88.256
http://www.pro-igel.de/,IRRELEVANT,STATION,False,True,79.912
https://www.google.com/maps/d/viewer?mid=1RVna40FRfnJhCUAmFHkMeirCpgM&hl=de,LIST,LIST,True,True,127.556
https://www.igelverein.de/index.html,IRRELEVANT,STATION,False,True,76.982
https://www.facebook.com/IgelNotnetz/,IRRELEVANT,,,False,
https://netzwerk-igel-wuppertal.de/,STATION,,,False,
https://www.igelzentrum.ch/,STATION,STATION,True,True,70.976
http://www.rehkitzhilfe.de/,IRRELEVANT,LIST,False,True,13.541
https://www.reptilienauffangstation.de/,STATION,STATION,True,True,78.885
https://wp.wildvogelhilfe.org/de/startseite/,IRRELEVANT,LIST,False,True,142.681
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,LIST,True,True,164.424
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-1/,LIST,LIST,True,True,168.926
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-2/,LIST,LIST,True,True,186.167
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-3/,LIST,LIST,True,True,194.761
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-4/,LIST,LIST,True,True,174.251
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-5/,LIST,LIST,True,True,187.036
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-6/,LIST,LIST,True,True,172.351
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-7/,LIST,LIST,True,True,160.771
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-8/,LIST,LIST,True,True,158.823
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-9/,LIST,LIST,True,True,180.105
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-oesterreich/,LIST,LIST,True,True,175.838
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-italien/,LIST,LIST,True,True,150.525
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-schweiz/,LIST,LIST,True,True,171.507
https://www.facebook.com/groups/1244601071054464,IRRELEVANT,,,False,
http://www.greifvogelhilfe.de//greifvogelhilfe,STATION,STATION,True,True,54.509
https://www.facebook.com/groups/2048505265445330,IRRELEVANT,,,False,
http://www.mauersegler.com/,STATION,STATION,True,True,89.878
https://www.google.com/maps/d/u/0/viewer?mid=1QK1Yl5M6YQ4Y5Od-Oxgurvib7jM&ouid=0&ll=51.344312993727584%2C5.3065379442791105&z=6&fbclid=IwAR0BxRwBZh7GYetDMyMcB1Z1vJ2lypQ0xznAGr39UQs4aUZ3vmkX3LPvUbk,LIST,LIST,True,True,65.313
https://www.facebook.com/groups/223203588124951/,IRRELEVANT,,,False,
https://pro-palomas.de/tauben-in-not/,IRRELEVANT,LIST,False,True,106.316
http://www.probird.de/,IRRELEVANT,STATION,False,True,58.351
https://ighw-waschbaer.de/notfall-gefunden/,IRRELEVANT,LIST,False,True,103.35
https://www.facebook.com/groups/426943488144776,IRRELEVANT,,,False,
https://marswildliferescue.com/,STATION,STATION,True,True,64.306
