url,accept,confidence
http://alaskasealife.org/overview,yes,sure
http://birdrescuecenter.org/,yes,sure
http://birds-of-prey.org/,yes,sure
http://bluemountainwildlife.org/,yes,sure
http://brinzal.org/,yes,sure
http://btnwildlife.org/contact-us,yes,sure
http://cheveche77.free.fr/,yes,sure
http://crowclinic.org/about-crow,yes,sure
http://crr-geneve.ch/,yes,sure
http://deutsche-wildtierrettung.de/kontakt,no,unsure
http://eichhoernchen-schutz.de/,yes,sure
http://eichhoernchenstation.ch/,yes,sure
http://eichhoernchenstation.ch/kontakt,yes,sure
http://erminea.org/,yes,sure
http://falknerei-feldberg.de/kontakt,no,unsure
http://feldhasen.de/,yes,sure
http://floridawildlifecare.org/contact.htm,yes,sure
http://fr.ch/mhnf/station-de-soins-rita-roux-pour-la-faune-sauvage,yes,sure
http://fuchs-hilfe.de/kontakt.htm,no,unsure
http://greifvogelhilfe.de/index.php/greifvogelhilfe,yes,sure
http://igelhilfe-baselbiet.ch/,yes,sure
http://igelhilfe-hinwil.ch/,yes,sure
http://igelhilfe-luzern.ch/,yes,sure
http://igelhilfeverein.de/,no,unsure
http://igelnest-oberbaselbiet.ch/,yes,sure
http://igelnest-oberbaselbiet.ch/kontakt,yes,sure
http://igelpflegestation.ch/,yes,sure
http://igelstation-kollbrunn.ch/,yes,sure
http://igelstation-kollbrunn.ch/fuehrungen,yes,sure
http://igelstation-kollbrunn.ch/igelstation,yes,sure
http://kitzrettung-nortmoor.de/contact/index/link?referrer=http%3A%2F%2Fwww.kitzrettung-nortmoor.de%2F,no,sure
http://kitzrettung-nortmoor.de/kontakt?dynamisch=1,no,sure
http://kitzrettung.jaegerschaft-row.de/kontakt,no,sure
http://loisachtalerrehkitzrettung.de/kontakt.html,no,sure
http://maehkitzrettung.de/Kontakt,no,sure
http://mauersegler.com/,yes,sure
http://mauersegler.com/kontakt,yes,sure
http://mauersegler.com/kontakt/anfahrt,yes,sure
http://moehlin-natur.ch/storchenstation,yes,sure
http://moholoholo.co.za/Contact-Us,yes,sure
http://nagerstation.ch/,no,unsure
http://naturschutzbund-ooe.at/oaw-greifvogelstation.html,yes,sure
http://natuurhulpcentrum.be/,yes,sure
http://natuurhulpcentrum.be/index.php/home-deutsch,yes,sure
http://pfalzstorch.de/kontakt,yes,sure
http://pro-igel.ch/igelwissen,no,unsure
http://pro-igel.ch/kontakt,no,unsure
http://rehkitzhilfe.de/kontakt.htm,no,sure
http://rehkitzrettung-hamminkeln.de/kontakt,no,sure
http://rehkitzrettungnockregion.at/kontakt,no,sure
http://safe-animal.eu/en/contact,no,sure
http://sarveywildlife.org/contact-us.aspx,yes,sure
http://tierheim-loeffingen.de/tierheim/tierauffangstation.html,no,unsure
http://tierhilfe-weiding.de/kontakt.html,no,unsure
http://tiernotruf.de/,no,unsure
http://tierrettungsdienst.ch/de/kontakt,no,unsure
http://vogelasiel.nl/contact.html,yes,sure
http://vogelpflege-sh.ch/,yes,sure
http://vogelwarte.ch/de/vogelwarte/vogelpflege.html,no,unsure
http://voliere.ch/,yes,sure
http://wendsche-kitzrettung.de/kontakt,no,sure
http://wildstation.ch/,yes,sure
http://wildstation.ch/de/kontakt.html,yes,sure
http://wildstation.ch/kontakt.html,yes,sure
http://wildtierhilfe-mv.de/,yes,sure
http://wildtierhilfe-schaefer.de/kontakt,yes,sure
http://wildtierschutz-dreisamtal.de/,yes,sure
http://wildtierstation-huenfelden.de/,yes,sure
http://wildtierzentrum.de/,yes,sure
http://wildtierzentrum.de/kontakt-wildtierzentrum,yes,sure
http://wildvogelpflegestation.ch/,yes,sure
http://wingspan.co.nz/contact,yes,sure
https://akwildbird.org/,yes,sure
https://akwildbird.org/contact.html,yes,sure
https://alaskaraptor.org/about-us,yes,sure
https://alaskaraptor.org/about-us/accessibility-statement,yes,sure
https://alaskaraptor.org/contact,yes,sure
https://apus-apus.com/,yes,sure
https://apus-apus.com/kontakt,yes,sure
https://apus-apus.com/kontakt/anfahrt,yes,sure
https://apus.tv/kontakt,yes,sure
https://bergische-greifvogelhilfe.de/kontakt.html,yes,sure
https://birdrescuecenter.org/contact-brc,yes,sure
https://birdtlc.org/,yes,sure
https://birdtlc.org/aboutclinic,yes,sure
https://birdtlc.org/contact-us,yes,sure
https://bluemountainwildlife.org/about-2,yes,sure
https://bluemountainwildlife.org/contact,yes,sure
https://crowclinic.org/about-crow/administrative-staff,yes,sure
https://deutsche-wildtierrettung.de/kontakt,no,unsure
https://eichhoernchen-notruf.com/,yes,sure
https://eichhoernchen-schutz.de/,yes,sure
https://eichhoernchen-station-gilching.de/,yes,sure
https://eichhoernchen-station-gilching.de/kontakt,yes,sure
https://eichhoernchenhilfe-neu-ulm.de/,yes,sure
https://eulen-greifvogelschutz.de/,yes,sure
https://eulen-greifvogelschutz.de/kontakt.html,yes,sure
https://falknerei-hohenstein.de/,yes,sure
https://falknerei-ronneburg.de/kontakt,no,unsure
https://igelhilfe-baselbiet.ch/kontakt,yes,sure
https://igelhilfe-schwaben.de/kontakt-and-spendenkonto,yes,sure
https://igelhilfeverein.de/kontakt,no,unsure
https://igelstation-auw.ch/,yes,sure
https://igelstation-auw.ch/kontakt,yes,sure
https://igelzentrum.ch/,yes,sure
https://info1449949.wixsite.com/wth-ravensburg,yes,sure
https://kanthari.ch/kontakt,no,sure
https://kitzco.de/kontakt,no,sure
https://kitzretter-jvnt.de/kontakt.html,no,sure
https://kitzrettung-daegeling.de/kontakt,no,sure
https://kitzrettung-holtland.de/kontakt?dynamisch=1,no,sure
https://kitzrettung-lichtenhorst-gilten.de/kontakt,no,sure
https://kitzrettung-opr.com/kontakt,no,sure
https://kitzrettung-ramerberg.de/kontakt,no,sure
https://kitzrettung-rauhe-ebrach.de/kontakt,no,sure
https://kitzrettung-sefferweich.de/kontakt,no,sure
https://kitzrettung-vorderpfalz-nord.hpage.com/kontakt.html,no,sure
https://kitzrettung-wildsachsen.de/kontakt,no,sure
https://marswildliferescue.com/,yes,sure
https://moehlin-natur.ch/kontakt,yes,sure
https://moehlin-natur.ch/lage-und-kontakt,yes,sure
https://moholoholo.co.za/,yes,sure
https://nordsollingreh.de/,no,sure
https://nordsollingreh.de/kontakt.html,no,sure
https://rehkitz-rettung.eu/,no,sure
https://rehkitzretter-gera.de/,no,sure
https://rehkitzretter-gera.de/kontakt,no,sure
https://rehkitzrettung-as.de/kontakt,no,sure
https://rehkitzrettung-bern.inori.ch/contact,no,sure
https://rehkitzrettung-borna-altenburg.de/kontakt,no,sure
https://rehkitzrettung-buchloe-ostallgaeu.de/kontakt,no,sure
https://rehkitzrettung-euskirchen.de/kontakt?dynamisch=1,no,sure
https://rehkitzrettung-fischerhude.de/,no,sure
https://rehkitzrettung-fischerhude.de/kontakt,no,sure
https://rehkitzrettung-goslar.de/kontakt,no,sure
https://rehkitzrettung-hannover.de/kontakt,no,sure
https://rehkitzrettung-hattingen.de/kontakt,no,sure
https://rehkitzrettung-joerler-raum.de/contact/index/link?referrer=https%3A%2F%2Fwww.rehkitzrettung-joerler-raum.de%2F,no,sure
https://rehkitzrettung-marcardsmoor.de/kontakt,no,sure
https://rehkitzrettung-mecklenburg.de/kontakt,no,sure
https://rehkitzrettung-oberwetz.de/kontakt,no,sure
https://rehkitzrettung-polling.de/kontakt,no,sure
https://rehkitzrettung-toggenburg.ch/kontakt.html,no,sure
https://rehkitzrettungwartau.ch/kontakt,no,sure
https://rehkitzsuche-nord.de/kontakt,no,sure
https://retscheider-hof.de/,yes,sure
https://retscheider-hof.de/?page_id=1007,yes,sure
https://retscheider-hof.de/kontakt,yes,sure
https://schaffhauser-tierschutz.ch/igelstation,yes,sure
https://stadtwaldhaus-frankfurt.de/auffangstation,yes,sure
https://tierschutzengelrheinmain.de/Kontakt,no,sure
https://vbu-ffm.de/adressen.shtml,no,sure
https://vbu-ffm.de/aufgaben.shtml,no,sure
https://vogelasiel.nl/,yes,sure
https://vogelasiel.nl/contact,yes,sure
https://vogelpflege-sh.ch/?page_id=33,yes,sure
https://vogelpflege-sh.ch/vogelpflegestation/infos,yes,sure
https://voliere.ch/angebote/pflegestation,yes,sure
https://voliere.ch/kontakt,yes,sure
https://wildes-bayern.de/kontakt,no,sure
https://wildtierhilfe-kleine-waldwesen.de/,yes,sure
https://wildtierhilfe-loreley.de/,yes,sure
https://wildtierhilfe-loreley.de/anfahrt,yes,sure
https://wildtierhilfe-loreley.de/kontakt,yes,sure
https://wildtierhilfe-mv.de/kontakt,yes,sure
https://wildtierhilfe-pforzheim.de/,yes,sure
https://wildtierhilfe-pforzheim.de/kontakt,yes,sure
https://wildtierhilfe-rhein-nahe.de/,yes,sure
https://wildtierhilfe-rhein-nahe.de/kontakt,yes,sure
https://wildtierhilfe-vorarlberg.at/,yes,sure
https://wildtierhilfe-vorarlberg.at/kontakt,yes,sure
https://wildtierhilfeamerang.org/,no,unsure
https://wildtierhilfeamerang.org/kontakt,no,unsure
https://wildtierretter.org/kontakt,no,sure
https://wildtierrettung-ammerland.de/,no,sure
https://wildtierrettung-ammerland.de/kontakt,no,sure
https://wildtierrettung-angeln-nord.de/kontakt,no,sure
https://wildtierrettung-angeln.de/kontakt,no,sure
https://wildtierrettung-berxen.de/kontakt,no,sure
https://wildtierrettung-bw.de/kontakt,no,sure
https://wildtierrettung-dinslakenhuenxe.de/kontakt,no,sure
https://wildtierrettung-erlangen.de/contact,no,unsure
https://wildtierrettung-osterzell.de/kontakt,no,sure
https://wildtierrettung-steigerwald.de/kontakt,no,sure
https://wildtierrettung-stollberg.de/kontakt,no,sure
https://wildtierrettung.org/,no,sure
https://wildtierrettung.org/Kontakt,no,sure
https://wildtierwaisen-schutz.de/,yes,sure
https://wildundnaturherz.ch/kontakt,no,sure
https://wildvogelpflegestation.ch/kontakt,yes,sure
https://wildvogelpflegestation.ch/stiftungszweck,yes,sure
https://wp.wildvogelhilfe.org/de/kontakt,no,unsure
https://wp.wildvogelhilfe.org/de/startseite,no,unsure
https://xn--mauerseglerundalpenseglerfrderung-nkd.ch/kontakt,yes,sure
