url,true_category
https://rlp.nabu.de/tiere-und-pflanzen/tieren-helfen/pflege-und-auffangstationen/index.html, LIST
https://www.vbu-ffm.de/pflegestationen.shtml, LIST
https://deutsche-wildtierrettung.de/wildtierauffangstationen/, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-dresden-chemnitz-leipzig-sachsen, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-berlin-brandenburg-mecklenburg-vorpommern, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-schleswig-holstein-bremen-hamburg, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-hannover-goettingen-niedersachsen, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-nrw-nordrhein-westfalen, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-rheinland-pfalz-saarland-nrw, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-hessen-rheinland-pfalz-saarland, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-baden-wuerttemberg-stuttgart-tuebingen, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-bayern-muenchen, LIST
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-bayern-franken-thueringen, LIST
https://www.wildtierhilfe-odenwald.de/, STATION
http://www.eichhoernchen-schutz.de/, IRRELEVANT
http://eichhoernchen-notruf.com/, IRRELEVANT
https://www.xn--eichhrnchen-in-not-h3b.de/, IRRELEVANT
https://www.eichhörnchen-in-not.de/schleswig-holstein/wyk-f%C3%B6hr/, LIST
http://www.feldhasen.de/, IRRELEVANT
https://www.fledermausschutz.de/ansprechpartner/, IRRELEVANT
https://www.agf-bw.de/haeufige_fragen_hilfe/nottelefon_kontakte, LIST
http://www.fuchs-hilfe.de/index.htm, IRRELEVANT
http://www.pro-igel.de/, IRRELEVANT
https://www.google.com/maps/d/viewer?mid=1RVna40FRfnJhCUAmFHkMeirCpgM&hl=de, LIST
https://www.igelverein.de/index.html, IRRELEVANT
https://www.facebook.com/IgelNotnetz/,IRRELEVANT
https://netzwerk-igel-wuppertal.de/, STATION
https://www.igelzentrum.ch/, STATION
http://www.rehkitzhilfe.de/, IRRELEVANT
https://www.reptilienauffangstation.de/, STATION
https://wp.wildvogelhilfe.org/de/startseite/, IRRELEVANT
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-1/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-2/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-3/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-4/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-5/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-6/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-7/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-8/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-9/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-oesterreich/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-italien/, LIST
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-schweiz/, LIST
https://www.facebook.com/groups/1244601071054464, IRRELEVANT
http://www.greifvogelhilfe.de//greifvogelhilfe, STATION
https://www.facebook.com/groups/2048505265445330, IRRELEVANT
http://www.mauersegler.com/, STATION
https://www.google.com/maps/d/u/0/viewer?mid=1QK1Yl5M6YQ4Y5Od-Oxgurvib7jM&ouid=0&ll=51.344312993727584%2C5.3065379442791105&z=6&fbclid=IwAR0BxRwBZh7GYetDMyMcB1Z1vJ2lypQ0xznAGr39UQs4aUZ3vmkX3LPvUbk, LIST
https://www.facebook.com/groups/223203588124951/, IRRELEVANT
https://pro-palomas.de/tauben-in-not/, IRRELEVANT
http://www.probird.de/, IRRELEVANT
https://ighw-waschbaer.de/notfall-gefunden/, IRRELEVANT
https://www.facebook.com/groups/426943488144776, IRRELEVANT
https://marswildliferescue.com/, STATION
