url,domain,fetch_seconds,fetch_success,html_bytes,categorize_seconds,category,cleaned_text_chars,extract_seconds,extracted_count,extracted_json
https://rlp.nabu.de/tiere-und-pflanzen/tieren-helfen/pflege-und-auffangstationen/index.html,rlp.nabu.de,3.788,True,90583,19.396,IRRELEVANT,1500,,,
https://www.vbu-ffm.de/pflegestationen.shtml,www.vbu-ffm.de,1.265,True,29328,17.604,LIST,1500,24.335,0,[]
https://deutsche-wildtierrettung.de/wildtierauffangstationen/,deutsche-wildtierrettung.de,3.092,True,128372,18.391,LIST,1500,24.234,0,[]
https://www.wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-dresden-chemnitz-leipzig-sachsen,www.wildtierschutz-deutschland.de,5.532,True,1031500,17.298,LIST,1500,24.195,0,[]
https://www.wildtierhilfe-odenwald.de/,www.wildtierhilfe-odenwald.de,0.11,False,0,,,,,,
http://wildstationbilche.de/,wildstationbilche.de,0.832,False,0,,,,,,
http://www.eichhoernchen-schutz.de/,www.eichhoernchen-schutz.de,7.628,True,179467,19.538,STATION,1500,40.465,14,"{""station_url"": ""https://eichhoernchen-schutz.de"", ""name"": ""Eichhörnchen Schutz e.V."", ""address"": """", ""country"": """", ""e-mail"": """", ""telephone"": """", ""mobile"": """", ""emergency_telephone"": """", ""social_media"": """", ""accepted_animals"": [], ""service_area"": """", ""animal_pickup"": false, ""opening_hours"": """", ""description"": ""Eichhörnchen gefunden? Wir können helfen!""}"
http://eichhoernchen-notruf.com/,eichhoernchen-notruf.com,3.862,True,75365,20.373,STATION,1500,59.344,14,"{""station_url"": ""https://www.eichhoernchen-notruf.com/"", ""name"": ""Eichhörnchen Notruf e.V."", ""address"": """", ""country"": """", ""e-mail"": """", ""telephone"": ""0700 – 200 200 12"", ""mobile"": """", ""emergency_telephone"": """", ""social_media"": """", ""accepted_animals"": [""Eichhörnchen""], ""service_area"": """", ""animal_pickup"": false, ""opening_hours"": """", ""description"": ""Sie haben ein hilfloses Eichhörnchen gefunden? Ein aus dem Nest gefallenes Junges? Ein Ihnen nachlaufendes mutterloses Jungtier? Ein verletztes Eichhörnchen egal welchen Alters? RUFEN SIE UNS AN !""}"
https://www.xn--eichhrnchen-in-not-h3b.de/,www.xn--eichhrnchen-in-not-h3b.de,2.454,True,56024,21.828,LIST,1500,27.691,0,[]
http://www.feldhasen.de/,www.feldhasen.de,3.474,True,55298,20.032,STATION,1500,42.826,14,"{""station_url"": ""https://www.wildtierwaisen-schutz.de/"", ""name"": ""Wildtierwaisen Schutz e.V."", ""address"": """", ""country"": """", ""e-mail"": """", ""telephone"": """", ""mobile"": """", ""emergency_telephone"": """", ""social_media"": """", ""accepted_animals"": [""Feldhasen"", ""Siebenschläfer""], ""service_area"": """", ""animal_pickup"": false, ""opening_hours"": """", ""description"": """"}"
https://www.fledermausschutz.de/ansprechpartner/,www.fledermausschutz.de,7.566,True,137265,12.635,IRRELEVANT,1500,,,
https://www.agf-bw.de/haeufige_fragen_hilfe/nottelefon_kontakte,www.agf-bw.de,2.164,True,49068,18.15,STATION,1500,51.3,14,"{""station_url"": ""https://www.agf-bw.de"", ""name"": ""Arbeitsgemeinschaft Fledermausschutz Baden-Württemberg e.V."", ""address"": """", ""country"": ""Germany"", ""e-mail"": """", ""telephone"": """", ""mobile"": """", ""emergency_telephone"": """", ""social_media"": """", ""accepted_animals"": [], ""service_area"": ""Baden-Württemberg"", ""animal_pickup"": false, ""opening_hours"": """", ""description"": ""This website is for the Bat Conservation Association of Baden-Württemberg. It provides information on bat conservation, frequently asked questions, emergency contact numbers (Nottelefon), and first aid for bats. The content provided does not contain specific contact details like address, phone numbers, or email addresses.""}"
http://www.fuchs-hilfe.de/index.htm,www.fuchs-hilfe.de,2.202,True,16646,15.165,LIST,1500,21.582,0,[]
http://www.pro-igel.de/,www.pro-igel.de,2.974,True,41403,18.209,LIST,1500,25.059,0,[]
https://www.google.com/maps/d/viewer?mid=1RVna40FRfnJhCUAmFHkMeirCpgM&hl=de,www.google.com,3.539,True,634747,19.278,LIST,1500,25.98,0,[]
https://www.igelverein.de/index.html,www.igelverein.de,2.283,True,47918,21.074,LIST,1500,27.825,0,[]
